,FDR_NULL,log2FC_NULL,FDR_HET,log2FC_HET
1810022K09Rik,0.0114739149020787,-0.369719971379888,0.00817322527682605,-0.210997743685544
2010107E04Rik,3.05590804365744e-08,-0.43512317454398,1.88011666667523e-05,-0.620340875081739
Actg1,5.99838253263551e-38,-1.61281431320259,3.52434781549379e-24,-1.46814723954036
Anapc13,0.0455426554640094,-0.111403674856549,2.42620359297083e-07,-0.597922525417699
Apc,3.72786872450558e-10,-0.886890945572317,9.77127210575668e-09,-0.7635718677729
Atp1a2,9.31133517008164e-07,-0.547506987646385,0.0363968745765403,-0.166087696663262
Atp5d,3.14883499614246e-13,-1.14905652646251,6.61440282877926e-08,-0.830201633888833
Atp5e,1.25056457126553e-06,-0.665961635120539,5.2875938639871e-09,-1.02123494055223
Atp5g2,4.12338226573465e-24,-1.42586798493473,9.41575485472499e-28,-1.42638835027726
Atp5h,2.59011311657907e-17,-1.32165262168283,7.82739403562942e-12,-1.00038825317503
Atp5j2,5.63190164774753e-09,-0.626322202856125,3.54157482693829e-06,-0.621331379341816
Atxn7l3b,0.00808871859565802,-0.620982179973291,0.000825407985892657,-0.532024970239735
Banf1,0.00144514861161463,-0.47078746879514,0.0436096303709143,-0.178159935536665
Basp1,9.51524479546556e-14,-0.910634218685714,2.37213515217426e-63,-2.10649830778451
Bola2,0.042178171206431,-0.297150665369349,2.44477135277461e-07,-0.784108199661578
Bsg,3.8697906437439e-09,-0.770139371008244,4.68606762423743e-18,-0.570521591425166
Camk2n1,4.85915504427485e-09,-0.669610590996482,1.5822140496054e-09,-0.91707884155517
Ccnd2,0.000279189453116699,-0.629690311516705,3.42142100852006e-06,-0.480051845907294
Cdk4,0.000304766835290211,-0.39650350715406,1.32222728778383e-05,-0.228280674453087
Chd3,0.0249768854308045,-0.419490522106162,0.00510742412046098,-0.330968674487025
Cldn5,5.04061486164306e-08,-0.317119768108662,8.04902233969174e-06,-0.0825217859576431
Clta,0.000429494996818538,-0.578343973352234,0.000386086771895103,-0.427573357110603
Cox4i1,4.04598856432053e-41,-0.657027182722754,9.35704937827476e-49,-0.779910132152027
Cox6b1,2.45017336372259e-07,-0.262503837008275,1.84772040838673e-18,-0.452847691036785
Cox6c,3.23095165552748e-09,-0.198154084449461,6.71250010805535e-38,-0.473888571129239
Cox7a2,1.04476342598526e-11,-0.524933353192864,4.79812999862253e-15,-0.789222790677897
Cox7a2l,1.13420483560253e-07,-0.888288402904385,5.91021865874965e-18,-1.16246048528477
Cox7b,1.12137904521532e-22,-1.45940922814709,1.4652429645767e-13,-1.20291936999154
Cox7c,1.04811617654086e-14,-0.408984053522566,1.4398822299234e-05,-0.262911081702082
Cox8a,1.45114886710834e-45,-0.541140815481947,3.79419249091232e-43,-0.508351137350049
Ctnnb1,0.00111237111658784,-0.380576761963379,0.00810388178365264,-0.198256392992354
Dstn,0.00430485711400143,-0.506932785402999,0.0252820935739521,-0.255538181612289
Eef1a1,3.93315995137924e-99,-2.23397505859425,7.65668116688648e-97,-2.23909011881926
Eef1b2,6.2938249452116e-27,-1.65853043816977,2.17045668988009e-14,-0.940575287594113
Eef1d,1.36885709566319e-07,-0.534314514659875,0.000418712323896294,-0.19224591585939
Eef1g,7.63272011428697e-21,-1.3930825953637,3.58074021538852e-13,-1.0933412264593
Eef2,6.54723172107288e-15,-1.30343699108506,4.52297726172132e-13,-0.872344022040998
Eif2s2,0.0100570856122224,-0.473602789811781,0.00856592594569491,-0.394882745768208
Eif3f,9.62856704808016e-10,-0.958719843700331,0.000391700169637766,-0.57656485371984
Eif3k,0.0372205510466107,-0.485856880229113,0.00174944909136434,-0.404784168113427
Fabp5,6.28873241140412e-41,-1.39709723781774,5.75839005478303e-62,-2.12887516851398
Fabp7,9.12456724907736e-08,-0.229307993115366,4.32280133933358e-49,-0.592204618564459
Fau,4.2821209609547e-101,-1.51249059090161,4.07098889933101e-151,-2.10480270117914
Fis1,0.000961364412808721,-0.586484531385397,5.18816007991091e-07,-0.559477576482064
Fth1,9.42657661159596e-64,-0.432538709967272,1.01270584326113e-26,-0.274892541761261
Gabarap,4.75367471089213e-09,-0.827448054404383,3.30693599735909e-07,-0.738861612789799
Gapdh,4.9363275838917e-45,-2.21891721945098,7.81370628336517e-39,-1.84734742439233
Gnai2,0.00399025252089593,-0.543470651900636,0.0223519370406601,-0.260095481915181
Gnb2l1,5.95898109967079e-18,-1.15107430407502,2.42573329697605e-21,-0.809809733485642
Gng5,0.00200683553733965,-0.543048646886111,1.07492270700222e-09,-0.751409335192945
Gpx1,0.0428066001669604,-0.322267501740038,0.000613081754586978,-0.283427561689749
Gpx4,3.04063569083842e-15,-1.22171932101047,5.55183525931748e-09,-1.01813743083093
H3f3a,5.07144266537506e-19,-1.2427567490242,2.21507025049933e-08,-0.772362911630834
Hba-a1,0.00116392235323034,-0.186349817857794,1.04211507445853e-07,-0.114053128779387
Hba-a2,7.31617558811689e-12,-0.277161824802591,0.000603820335598391,-0.0758187562631506
Hbb-bs,1.72486101806637e-34,-0.936293003200467,2.48813870891094e-20,-0.272960443532707
Hist3h2ba,0.00240739380420387,-0.542511218567329,0.0074522158663594,-0.304505504665626
Hras,0.000283604912736449,-0.588143513839207,0.00102869691496646,-0.371099704695822
Hsp90aa1,1.59475799165857e-18,-1.32887336081178,1.36503438601329e-16,-0.959253918994541
Hsp90ab1,2.24891948256902e-60,-2.42095436655803,2.84783930625314e-46,-2.12134343172837
Hspe1,3.23095165552748e-09,-0.901450932530522,1.68161566326797e-12,-1.07218919677995
Idh3g,0.0132326043241463,-0.228157853616488,0.00324915211589317,-0.0971919540936969
Ift20,0.0154284356414484,-0.266128974592171,0.0226482888608746,-0.141941200908714
Kif1a,9.23589485452888e-53,-2.2013846923437,1.02136988337936e-54,-1.94378791266567
Lmo4,0.0233037053993182,-0.394723828002384,1.33504718555269e-05,-0.345875595530872
Lsm4,0.0236889631465969,-0.339704603257112,0.0004505155501227,-0.313433871314051
Malat1,2.27563892064427e-82,-3.20150430112728,3.30129158039575e-115,-2.82969288119165
Map1b,1.52691867929577e-06,-0.752630835902076,2.73506929451749e-15,-1.06211757672728
Mapt,1.46181788716e-23,-1.46759164178849,4.08903442133649e-22,-1.30812140750407
Mif,1.178971584854e-08,-0.591082201021502,1.19620845548729e-13,-0.988407115362875
Mt2,7.91836968833226e-06,-0.626387519713814,2.66622143236289e-08,-0.361924192338951
Mt3,6.13490720796907e-07,-0.606244224507936,1.10066670758988e-08,-0.783159128976157
Myeov2,6.73082697906973e-10,-0.864336015344432,5.87543519636572e-11,-1.01052152285607
Naca,4.18003022381853e-20,-1.48671654787898,3.72093366938369e-22,-1.39074436254162
Nav1,0.0125345945091168,-0.214909642944956,0.0439613184787087,-0.0879544674151627
Ndufa2,2.26869330991917e-07,-0.78212403786334,3.42342911205654e-07,-0.878932584534761
Ndufa7,0.00974796934661547,-0.616479198289248,6.7477048110296e-09,-0.778210952349372
Ndufb9,8.21627638401693e-18,-1.15254956453723,1.12993939444131e-12,-1.0300789638494
Nedd8,0.0489813258183084,-0.577757780567727,1.22466477979905e-08,-0.969118489004665
Nenf,0.000215221216551324,-0.642072021873188,0.000191824530746667,-0.409010874783018
Nisch,0.00217863682521497,-0.26434694782109,0.00465985342351386,-0.0707046778097885
Nnat,3.92285292685913e-21,-1.48558530722741,1.30330259012234e-22,-1.57789434072281
Npm1,2.15446457650659e-15,-0.867760095779768,9.75483661644957e-09,-0.441625345667742
Nsa2,9.39700551460284e-05,-0.400127399161292,2.00462450552099e-06,-0.188548605840956
Pcp4,5.22930890237776e-35,-2.03422505406196,5.18068248713538e-17,-1.41430724498737
Pcsk1n,0.000102789918902734,-0.360604282664436,1.55329511478604e-05,-0.777224061140356
Pdap1,0.0126186068719226,-0.42412201598637,2.27673799354631e-05,-0.476822516218755
Pebp1,2.06234976754481e-31,-1.69174374020194,1.00108050532398e-36,-1.93101110660857
Pfdn5,3.74428652202195e-19,-1.4265947057009,1.51756871715149e-20,-1.45994440979857
Polr1d,0.000155278095255904,-0.598118647969371,0.00171638275203424,-0.308477718219041
Ppdpf,0.0388322602719696,-0.487748076251624,0.049256488326289,-0.306722132319424
Ppia,1.95705135853524e-34,-0.343362513959736,9.72062628129805e-39,-0.32790325379851
Prdx2,8.24563606107337e-07,-0.954722245401947,3.163301225036e-09,-0.896166255003288
Psma7,0.000991096050829556,-0.591250331004701,0.00473932532593071,-0.552666975375397
Psmg4,0.000200481913004939,-0.338809742643457,0.000117145112054153,-0.180883221204353
Ptgds,5.22233331969177e-58,-1.36802045320417,2.47620742455886e-35,-0.55722513189623
Ptma,4.32529468395452e-12,-1.23313930441566,1.0164365593524e-09,-1.05768206530569
Ptprz1,0.0203003122061075,-0.303056091599272,0.000616195714576206,-0.250905068767339
Rbp1,1.52691867929577e-06,-0.312394838600194,0.000190346000854586,-0.112791377805692
Rnf187,0.0142997092903715,-0.438003234227391,0.0380306733702227,-0.263053662618865
Rtf1,0.0265592146728684,-0.296604514642857,0.019171340532739,-0.155411044780848
Rtn1,0.0043308761696959,-0.65352230602713,0.0322028857595507,-0.455861148603404
Scand1,0.00125033043235966,-0.523625919769005,5.80253016415966e-05,-0.406946952175143
Sec62,0.0208493218716249,-0.335326224872431,0.00430983656595243,-0.279107830232041
Serbp1,0.00273896882164419,-0.460305482231734,1.3793319624356e-05,-0.354302153434767
Smdt1,5.99596191270865e-07,-0.972350756749045,1.98678217688096e-13,-1.1299542956567
Snrpd1,0.000733812956481878,-0.415784490940318,0.000226667741998447,-0.257654060313982
Snrpe,1.59858000155373e-05,-0.65288035824487,2.92320791726961e-06,-0.404017207845242
Snrpg,0.0011319158221665,-0.677200681970451,4.40746756042484e-17,-1.07353047005948
Son,1.71845318566691e-08,-0.609810365494533,2.97647779517525e-13,-0.379359759998442
Sox4,0.00870940697861224,-0.489526210924163,0.000107438943232925,-0.358407682970907
Srrm2,2.68272867147745e-07,-0.445050936248117,0.000367917848315008,-0.141830126359672
Srsf3,0.000990649619020967,-0.412145270582164,0.00839202335199426,-0.181228356607379
Ssb,5.05368695719845e-05,-0.396760624650818,0.0127145426601375,-0.105105494846045
Ssr4,0.000407434392342422,-0.374453341246287,0.00270853165082122,-0.183074231779511
Stmn2,3.04468855443333e-63,-0.805215205967214,5.22491902301115e-58,-0.640802185235801
Stmn3,2.56458292486561e-12,-1.13934313779422,9.66944418020318e-22,-1.36687999088138
Tbca,6.743928788827e-09,-1.15173555713412,2.15495177909021e-12,-1.0085491470906
Tcf25,0.00221054653278322,-0.499656062871251,0.00275131707360623,-0.32039469704815
Thoc7,0.0479184556643622,-0.349876501306311,0.0169775922957753,-0.23378395573713
Tma7,1.13076294160757e-10,-0.456000372406194,1.211730154338e-20,-1.25260050627388
Tmem261,0.0419594769864469,-0.235574168367332,0.00415562747359803,-0.113822983395547
Tmsb10,1.06990439336291e-11,-0.160075658266965,1.85579434561151e-104,-0.410406004728118
Tmsb4x,3.64071267100764e-70,-0.497579553948903,9.0189232761968e-30,-0.272103859810926
Tomm7,4.75367471089213e-09,-0.985850463846998,1.23297634974908e-07,-0.852603210958363
Top1,4.76902020199747e-05,-0.416775899683879,0.00191396816707902,-0.191496493262192
Tpt1,7.90164251293798e-60,-2.26319035452912,4.03817665764484e-41,-2.05642817115742
Ttc3,3.99732747199445e-07,-0.783925922784558,0.00156740790640847,-0.411035001005841
Tubb2b,7.26984649472544e-18,-0.851048263075221,1.13159209020775e-15,-1.02655127178712
Tubb5,1.46526335050214e-05,-0.675192273090522,3.36704762931633e-10,-0.755213795203293
Ubl5,7.19779302817929e-05,-0.691661916442671,1.01208888058755e-09,-1.09098734775048
Uchl1,1.92638285817376e-08,-0.849178273490249,4.79812999862253e-15,-1.07514509513116
Uqcrh,1.48865433341447e-19,-1.4138258721993,9.0189232761968e-30,-1.68891937770766
Use1,0.000496553187270337,-0.390831070972221,0.013581510346234,-0.157007165712697
Zfos1,0.00199960926475889,-0.321922490723053,1.74238104848916e-05,-0.14100540908751
Actb,0.0128561978277889,0.325857149986907,0.0223519370406601,0.367062561651004
Ap3s1,0.000124822929944882,0.453383953921716,2.97647779517525e-13,0.644694798358645
Arf5,6.03610387777887e-12,1.14060096644512,4.04250287402089e-05,0.738807283565702
Arl8a,0.00272995001461949,0.480135616207506,0.0019534890021245,0.35250329479199
Arpc5,0.00148213024498173,0.497550405210302,1.3793319624356e-05,0.408563380948691
Atp6v1g1,8.34419051189192e-14,0.96931267080632,1.81479885171893e-13,0.790087488072161
BC048546,0.0162570366140368,0.151930174368721,0.0360192506621185,0.078955969904327
Bend6,0.00103981519146011,0.40112549686453,7.63373612612506e-05,0.250502927443244
Bzw1,0.00476619211183079,0.397775213293662,0.0126848316913882,0.19544377957659
Calm1,1.42819621176529e-05,0.167547292173097,2.17045668988009e-14,0.453076551941775
Calm2,2.08474138645091e-187,1.65750586326845,1.86557141343305e-180,1.79806790653915
Calm3,7.77836741679059e-12,0.974911101449745,3.97532393397207e-08,0.948483069417767
Capza2,1.3873839125291e-15,0.944988563052666,9.07445710402638e-15,0.555747122702499
Cd81,0.0027959794475972,0.610316416529362,0.000172253156196813,0.510776322207015
Cfl1,1.00099810931321e-06,0.712241781735109,8.47600733330048e-15,1.06074260001367
Cmpk1,0.0284024028851901,0.227046882823576,0.000320991578398549,0.301707937801763
Cnih2,4.90857030292217e-08,0.890879286048004,2.81243593242496e-18,1.22604687361454
Cops6,0.00343270651448586,0.387683423042936,0.0185416083019759,0.200108569091899
Cox6a1,0.0214051433321095,0.115876211919739,3.13513424932794e-06,0.176911717064959
Cpe,0.00971992435458753,0.525510651982462,1.31900790424704e-08,1.02345150784178
Cplx2,0.000875853636487233,0.486325723751212,3.05360227191012e-05,0.467513292216545
Cycs,1.36772971833159e-05,0.846483502264252,3.91200460022513e-07,0.777056686970799
Dda1,0.0224911654370403,0.260486743427576,0.00325575120112196,0.27232072506322
Dnaja1,0.0485184724931414,0.390455247541379,0.00477564504953865,0.327302150296039
Dnajb6,9.1036139158634e-07,0.615249321108021,2.00138512607e-05,0.376733431163056
Eef1e1,0.00399194913630463,0.300440396913772,0.026151632372734,0.129004767619726
Eif4a2,3.45460188240648e-05,0.589583723158057,3.60688040712758e-05,0.348200926086156
Eif5a,0.0428215074105261,0.329959652601533,0.0125825540720722,0.458313607050481
Fez1,0.000257767509333336,0.631808150280249,0.00311884594367229,0.376340404107686
Fgf13,0.0031632888134187,0.37051043201649,1.0770798404167e-06,0.313063056737992
Fkbp1a,2.72676220585309e-06,0.718070418789345,6.36017018398954e-06,0.767011041804767
Gas7,6.17501393382314e-10,0.738565297083341,0.000439475711908841,0.310280773245579
Gatm,1.02766241249129e-05,0.459373996251235,0.0239028187387249,0.183575278579401
Gnb1,4.20757538134003e-08,0.798620213089936,1.51202767594127e-15,0.865989759380007
Gtf2a2,0.0219867492114071,0.272068802372685,0.0491077268266424,0.122525656123938
Hnrnpk,0.0020205583788196,0.486098505735188,0.0190163981286087,0.325701492316525
Jund,0.0131745306093083,0.442432111615211,0.0135375445537899,0.335687767040698
Marcksl1,7.08102525483333e-18,1.11584532315547,1.4771592239903e-32,1.6049053336002
Mdh2,0.0202249514229326,0.484266463491273,0.000191824530746667,0.525157318744626
Mgst3,1.38731102927014e-10,0.973165097681671,2.71424477096797e-13,1.18456671535111
Mllt11,8.20780599039597e-20,1.29519430042665,1.63541261405845e-54,2.3852800253242
Mmd,4.89060195922306e-06,0.552394874190973,4.45004651831078e-05,0.316711190167654
Mpc1,0.0043920573211058,0.568411955072539,4.14884399463436e-05,0.417228403491999
Ncs1,9.92149018959454e-21,0.935345665624288,6.11139234338774e-14,0.473967164811005
Ndufa1,8.06904949159061e-17,1.18081408242885,2.3159864688819e-11,0.977914934193907
Ndufa11,1.93935395427905e-05,0.83754512815618,0.0322980748194476,0.491249930590286
Ndufa4,0.0103811872640806,0.195265001555251,4.45294936316849e-05,0.200391453841535
Nrgn,1.13014516003302e-109,2.23785540372521,1.59728490725942e-08,0.694541727412405
Nsmf,0.00210413793227889,0.405147754889522,0.000299849436087494,0.223311064699287
Pfn2,0.00507479128908452,0.226747991334715,7.25059809078207e-11,0.884051756381587
Psmb3,0.00798028008918037,0.495105389728889,0.0149234263588477,0.352026876452528
Rab11a,0.000327528535738872,0.482267275141001,0.000623109693916011,0.263009724006164
Rab18,0.0234005749485177,0.274704913324604,0.000128759613822944,0.19855287714721
Rab1a,0.0188386581582205,0.228750609509516,0.0139687414167223,0.124181873373923
Rab3a,0.042340799047296,0.439135079091354,0.000852865599055021,0.444717707662506
Rcn2,0.0392072070618216,0.281036816525487,0.0205178997335313,0.147813281408293
Rheb,0.000729220071420775,0.496359969001936,1.12103999672005e-05,0.377265237462274
Sdhb,0.00970381602698857,0.412669027002494,0.000400628758988444,0.382920479198443
Selk,0.000191427950055028,0.689172750456363,6.47976483218652e-08,0.706371130008005
Serpine2,0.036475136983983,0.376599654911226,0.0414308696047062,0.308077079392615
Slc25a4,5.0142838708452e-11,0.972045379513519,1.16696980112424e-17,1.25792255638167
Snap25,0.000990649619020967,0.438633954369338,0.00487424247290924,0.260649006608085
Snca,7.87691123056993e-06,0.649662673010027,3.43712601041106e-15,1.01078337904498
Sncb,4.00243163943665e-07,0.713663314459112,3.24872787260918e-17,0.967827205916326
Snrpn,1.21084245217832e-34,1.71341548869899,3.11418727540015e-35,1.60057390626158
Stard3nl,0.0039856117626561,0.295050115106265,0.000159186388116896,0.127663154555909
Stx1a,0.0483698366772587,0.309432547375733,0.00487424247290924,0.180768826827215
Stx7,0.047949059877176,0.319325697345526,0.0481538250813869,0.186158378600287
Sumo1,1.28664240438557e-07,0.683708653105994,4.51288560481754e-07,0.42827981500879
Tceb1,0.00462666047506867,0.541421506345726,9.79811350574327e-07,0.551117430988877
Tubb2a,0.00358382474072582,0.467425407369788,0.016445522333317,0.536274760236816
Tubb3,0.000991096050829556,0.653904573000551,0.000825103920272436,0.601894205576974
Ubc,4.18846809992702e-23,1.2925086262886,7.56928934195106e-46,1.40251714466663
Ube2v2,2.61778198103215e-08,0.60322316463291,0.000527325674527289,0.223416579063952
Uqcrb,0.0186875592073137,0.281215292437706,1.00435121651651e-10,0.984124192668164
Vamp2,1.00704049326014e-10,1.13898696723183,2.69890228712196e-26,1.45902632138721
Vapa,6.41904293195962e-06,0.624102120717007,3.939288312678e-06,0.412291428950142
Vsnl1,0.00085827478142754,0.389539140096698,0.0360192506621185,0.185604600457524
Wsb2,0.00158577528694446,0.425353803543103,0.00391863580141375,0.265840019597498
Yaf2,0.00353253620270952,0.340779619349297,0.000241804736473967,0.210641275611183
Ywhae,5.74405886794287e-08,0.762900384272177,1.7443529560886e-15,1.14698686376568
Ywhah,9.68406178088267e-20,1.39647466375489,3.34071719915633e-22,1.11560746468385
Ywhaq,2.77162029941555e-06,0.719248955436086,7.59973644727975e-15,0.841289588324018
